                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0445,                0.62123,                 1.0436,                0.87618,                0.82875,                0.82722,                0.43977,                 1.3329,                 1.0032,                 1.3137,              0.0011224,              0.0011224,              0.0011224
                     36,                 1.0602,                0.61984,                 1.0772,                 0.8749,                0.77268,                0.79865,                0.42366,                 1.3468,                 1.0842,                 1.2926,              0.0011059,              0.0011059,              0.0011059
                     37,                 1.0658,                0.64132,                 1.0561,                0.86117,                0.77987,                 0.7971,                0.43845,                 1.3372,                0.99409,                 1.2712,              0.0010894,              0.0010894,              0.0010894
                     38,                 1.0207,                0.61926,                 1.0309,                0.86913,                0.72804,                0.82097,                0.44305,                 1.3901,                  1.087,                  1.307,              0.0010729,              0.0010729,              0.0010729
                     39,                 1.0356,                0.62139,                 1.0255,                0.87347,                0.71167,                0.76259,                0.41057,                 1.4192,                 1.0926,                 1.3067,              0.0010564,              0.0010564,              0.0010564
                     40,                 1.0277,                 0.6199,                 1.0273,                0.86676,                0.72939,                0.80513,                 0.4216,                 1.4146,                 1.9625,                 1.2786,              0.0010399,              0.0010399,              0.0010399
                     41,                 1.0173,                 0.5976,                  1.029,                0.89125,                0.69925,                0.80427,                0.41216,                  1.412,                 1.9053,                 1.2719,              0.0010234,              0.0010234,              0.0010234
                     42,                0.99878,                0.57054,                 1.0265,                0.84908,                0.61413,                0.73761,                0.37736,                 1.3977,                 1.2283,                 1.2853,              0.0010069,              0.0010069,              0.0010069
                     43,                0.97543,                0.58667,                 1.0163,                0.81396,                0.82114,                0.87124,                0.45919,                 1.3705,                0.76409,                 1.3401,             0.00099036,             0.00099036,             0.00099036
                     44,                0.99868,                0.56453,                  1.013,                0.88906,                0.81942,                0.88265,                0.47749,                 1.3399,                0.71251,                 1.2606,             0.00097386,             0.00097386,             0.00097386
                     45,                0.96425,                0.55637,                 1.0281,                0.91713,                0.84669,                0.88325,                0.48844,                 1.3019,                0.72163,                 1.2143,             0.00095736,             0.00095736,             0.00095736
                     46,                 1.0134,                0.58071,                 1.0384,                0.88596,                0.81912,                0.87731,                0.48707,                 1.2404,                 0.6819,                 1.1682,             0.00094085,             0.00094085,             0.00094085
                     47,                0.97203,                0.56378,                 1.0478,                0.90155,                0.79603,                0.87006,                0.49521,                 1.2753,                0.68809,                 1.1808,             0.00092435,             0.00092435,             0.00092435
                     48,                0.97638,                0.56935,                 1.0148,                 0.8933,                0.85401,                0.92174,                0.50841,                 1.2084,                0.71639,                 1.1513,             0.00090785,             0.00090785,             0.00090785
                     49,                0.93743,                 0.5304,                  1.019,                0.88622,                0.84835,                0.91162,                 0.4971,                 1.2228,                0.72352,                 1.1688,             0.00089134,             0.00089134,             0.00089134
                     50,                0.98432,                0.54705,                 1.0062,                0.82581,                0.86327,                0.87484,                0.49713,                  1.251,                0.72825,                  1.193,             0.00087484,             0.00087484,             0.00087484
                     51,                0.96066,                0.54067,                 1.0164,                0.88182,                0.86484,                0.90247,                0.51276,                 1.2568,                0.64234,                 1.1995,             0.00085834,             0.00085834,             0.00085834
                     52,                0.94406,                0.53818,                  1.031,                0.88838,                0.76515,                0.85161,                 0.5164,                 1.2115,                0.62064,                 1.1638,             0.00084184,             0.00084184,             0.00084184
                     53,                0.93486,                0.53984,                 1.0049,                0.89841,                0.79325,                0.84747,                0.50956,                 1.2029,                 0.5999,                 1.1606,             0.00082533,             0.00082533,             0.00082533
                     54,                0.97671,                 0.5571,                 1.0164,                0.91134,                0.81099,                0.87208,                0.49514,                 1.2518,                0.63559,                 1.1562,             0.00080883,             0.00080883,             0.00080883
                     55,                0.96048,                0.54832,                0.99644,                0.95386,                0.79545,                 0.8884,                 0.5074,                 1.2551,                0.64541,                 1.1405,             0.00079233,             0.00079233,             0.00079233
                     56,                0.97543,                0.55916,                 1.0117,                0.94637,                0.82216,                0.90639,                0.52023,                 1.1824,                0.60877,                  1.121,             0.00077582,             0.00077582,             0.00077582
                     57,                0.95071,                0.54141,                0.99719,                0.88173,                0.84678,                0.89471,                0.50363,                 1.1847,                0.62818,                 1.1286,             0.00075932,             0.00075932,             0.00075932
                     58,                0.92675,                0.53663,                0.99136,                 0.9324,                0.82889,                0.90083,                0.50896,                 1.1654,                0.63658,                 1.1303,             0.00074282,             0.00074282,             0.00074282
                     59,                0.93992,                0.53738,                0.99021,                0.88896,                0.89011,                0.92491,                0.50726,                 1.2268,                0.61432,                 1.1336,             0.00072631,             0.00072631,             0.00072631
                     60,                0.90902,                0.52485,                0.98676,                0.85337,                 0.8978,                0.92154,                0.52137,                 1.1654,                0.57351,                 1.1034,             0.00070981,             0.00070981,             0.00070981
                     61,                0.89573,                 0.4975,                0.97366,                0.83734,                0.91821,                0.91945,                0.52811,                 1.1638,                0.58886,                  1.102,             0.00069331,             0.00069331,             0.00069331
                     62,                0.84798,                0.49668,                0.95097,                0.91198,                0.90376,                0.92997,                0.53991,                 1.1857,                  0.587,                 1.1077,              0.0006768,              0.0006768,              0.0006768
                     63,                0.86568,                0.49961,                0.98014,                0.91664,                0.91734,                0.93903,                0.56182,                 1.1391,                0.56244,                 1.0976,              0.0006603,              0.0006603,              0.0006603
                     64,                0.89115,                0.48789,                0.96844,                0.90724,                 0.9259,                0.93583,                0.54386,                 1.1314,                0.54658,                 1.0921,              0.0006438,              0.0006438,              0.0006438
                     65,                0.88392,                0.49135,                0.97709,                0.89721,                 0.9132,                0.93372,                0.55379,                 1.1357,                0.54948,                 1.0954,             0.00062729,             0.00062729,             0.00062729
                     66,                0.88131,                0.51171,                0.96502,                0.95515,                0.85945,                0.92209,                0.55941,                 1.1184,                 0.5926,                 1.0809,             0.00061079,             0.00061079,             0.00061079
                     67,                0.84355,                0.49841,                0.97992,                 0.9252,                0.82738,                0.90687,                0.53138,                 1.1075,                0.59359,                 1.0705,             0.00059429,             0.00059429,             0.00059429
                     68,                0.87039,                0.47835,                0.97334,                0.91696,                0.85092,                0.89995,                0.51679,                 1.1087,                0.56924,                 1.0685,             0.00057778,             0.00057778,             0.00057778
                     69,                0.79373,                0.45821,                 0.9703,                0.93371,                0.85926,                0.90346,                0.52242,                 1.1241,                0.56107,                 1.0736,             0.00056128,             0.00056128,             0.00056128
                     70,                0.79059,                0.46145,                0.92788,                0.94409,                0.89231,                0.92763,                0.53633,                 1.1319,                0.54412,                 1.0733,             0.00054478,             0.00054478,             0.00054478
